,bed,bath,sqft,price,lat,long
3651,3,2.1,1276,469900,33.91492907951993,-117.93651740273118
3652,3,2.0,1130,459900,33.84056055,-117.99234924755055
3653,3,2.1,1333,499900,33.7968706,-117.9221179
3654,2,1.0,980,499900,33.825468,-117.896457
3655,3,2.0,1312,489000,33.77602898385291,-117.92905823613962
3656,2,1.0,1220,469990,33.822762041492986,-117.89675193545536
3657,2,2.1,1404,490000,33.740152,-117.95358994123346
3659,3,2.0,1281,450000,33.92552095,-117.89097746422405
3660,4,2.1,1357,505000,33.72623815,-117.824476342655
3661,3,2.0,1240,489000,33.6030127,-117.7202848
3663,3,3.1,2060,499000,33.6619749,-117.58882842417897
3664,2,2.1,1404,479000,33.915822,-117.94425957142857
3665,2,2.0,1300,449000,33.4914631,-117.65885609623862
3666,4,2.1,1573,478000,33.7518134,-117.84505550930623
3667,4,4.0,2500,485000,33.867177,-117.928769
3668,2,2.0,1009,449900,33.600669800000006,-117.70735081744465
3669,3,1.0,1037,454000,33.850130050000004,-118.00519702801205
3670,3,1.1,1190,470000,33.89524702043447,-117.8271818793461
3672,2,2.1,1000,495000,33.63537255,-117.59510995
3673,2,1.0,1150,479000,33.760997950000004,-118.08427979999999
3674,3,2.1,1235,505000,33.83746578490569,-118.04869488210052
3675,2,2.1,1404,494900,33.740797400183546,-117.95260974503873
3676,4,2.0,1379,490000,33.730658399999996,-117.89053530426494
3677,3,2.0,1092,499900,33.8640956,-118.00134889658025
3678,3,1.1,1115,499000,33.7375156,-117.86953427545475
3679,2,1.0,1000,499999,33.616797190595115,-117.64121986849865
3680,2,2.0,1200,479000,33.76852864999999,-118.090992
3681,2,2.0,1200,475000,33.77258485,-118.09323995
3682,3,2.1,1387,449900,33.78352085,-117.87418090039124
3683,2,2.0,1560,475000,33.46184055,-117.63590540502614
3684,2,1.0,687,450000,33.747110199999995,-117.91386595
3686,2,2.0,1200,475000,33.7706997,-118.09338955000001
3687,3,2.0,1350,453000,33.6065907,-117.7186313
3690,2,2.0,1100,498000,33.7608849,-118.083263437
3691,2,1.0,824,489900,33.7391633,-117.88112159595052
3692,2,2.0,1175,485000,33.7610103,-118.08634611625278
3693,2,2.0,1200,499000,33.7609339,-118.08669581731726
3694,2,2.0,1200,459000,33.77024955,-118.08375075000001
3698,2,2.0,1300,479000,33.76261825,-118.0886826
3699,3,2.0,1538,490000,33.91401085,-117.90963633760667
3700,3,2.0,1247,519900,33.5358495,-117.6683668
3701,3,1.1,1407,525000,33.8878694,-117.85780181736558
3702,4,2.0,1400,539900,33.93695136142422,-117.93393465273402
3704,3,2.0,1200,550000,33.92994886108282,-117.94030989791004
3705,3,2.1,1333,499900,33.7968706,-117.9221179
3706,2,1.0,980,499900,33.825468,-117.896457
3707,2,1.0,828,519000,33.87324235,-117.98974269907387
3708,3,1.0,1100,549900,33.8260775,-117.92266295475986
3709,3,2.0,1104,538000,33.71888395637028,-117.85968520903094
3710,4,2.1,1357,505000,33.72623815,-117.824476342655
3711,2,1.0,900,525000,33.86719415,-117.9173332986459
3713,3,1.0,1106,539000,33.82708785,-117.9189438000079
3714,3,2.0,1404,555000,33.9308543,-117.9531651
3715,3,3.1,2060,499000,33.6619749,-117.58882842417897
3717,3,2.0,1781,549000,33.856387999999995,-117.94380198902387
3718,3,1.1,1299,534900,33.7508672,-117.89551350447708
3719,3,1.0,1045,555000,33.851208400000004,-118.00996932760916
3720,3,1.0,1008,534888,33.719910600000006,-117.86600265
3721,3,2.0,1218,525000,33.83592,-117.891305
3722,3,2.0,906,549000,33.74712215,-117.93858736226582
3723,2,1.0,1064,524900,33.73515005,-117.87474676474844
3724,2,2.0,1400,524900,33.4932315,-117.6558471885154
3725,2,1.0,1281,549900,33.7257067,-117.8663697
3726,3,3.0,2200,518000,33.746635,-117.6118648
3727,3,2.0,1401,554900,33.722237449999994,-117.87419354856578
3729,2,2.1,1000,495000,33.63537255,-117.59510995
3730,4,2.0,1447,524900,33.8535356,-117.89834924255628
3732,3,2.1,1235,505000,33.83746578490569,-118.04869488210052
3734,3,2.0,1122,550000,33.93159853241336,-117.96089826942256
3735,3,1.1,1136,529000,33.736672600000006,-117.89195392019565
3736,2,3.0,1140,510000,33.84630185,-117.91828833509419
3737,3,1.1,1351,549900,33.81967021517944,-117.9692557095084
3738,2,2.1,1538,522500,33.870412743331464,-117.82705380022446
3739,3,2.0,1184,525000,33.851099899999994,-117.89569497605285
3740,3,2.0,1074,525000,33.8588203,-117.8774102065193
3741,3,2.0,1092,499900,33.8640956,-118.00134889658025
3742,2,1.0,1310,544900,33.7365398,-117.86853445
3743,3,1.1,1115,499000,33.7375156,-117.86953427545475
3744,2,1.0,1000,499999,33.616797190595115,-117.64121986849865
3746,3,2.0,1442,539900,33.7296751,-117.88871225
3748,3,1.1,1009,549900,33.72104945,-117.88652998273481
3749,2,1.1,1078,520000,33.617350840918995,-117.64298675475061
3750,2,2.0,1279,533000,33.61150345,-117.64569449818215
3751,3,2.0,1205,530000,33.8578648,-117.9763383
3753,2,2.0,1100,498000,33.7608849,-118.083263437
3754,3,1.0,857,549000,33.79298690681846,-117.8597299018492
3755,2,2.0,1200,499000,33.7609339,-118.08669581731726
